,city,city_id,city_url,code_vegan,scrap_datetime,sort_by,qtd_restaurants,restaurant_name
0,London ,g186338,London_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,4796,"                Restaurants
0                  1. Hibox
1            2. Indian Room
2         3. Scarlett Green
3         4. Taste Of Nawab
4  5. The Rajdoot Hampstead"
0,Manchester ,g187069,Manchester_Greater_Manchester_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,494,"                          Restaurants
0               1. Roti Food & Liquor
1                  2. Sangam Didsbury
2                         3. Viet Guy
3    4. Sangam Manchester City Centre
4  5. Double Zero 00 Neapolitan Pizza"
0,Birmingham ,g186402,Birmingham_West_Midlands_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,514,"                           Restaurants
0              1. @pizza Grand Central
1  2. Grand Central Kitchen Birmingham
2               3. Himalaya Restaurant
3                  4. Viceroy Tandoori
4                    5. Indico Mailbox"
0,Edinburgh ,g186525,Edinburgh_Scotland.html,zfz10697,2021-08-01 08:26:28,Highest Rating,751,"                  Restaurants
0                1. Salt Cafe
1                   2. Pataka
2           3. The Pakora Bar
3  4. Ostara Kitchen & Larder
4      5. The Painted Rooster"
0,Glasgow ,g186534,Glasgow_Scotland.html,zfz10697,2021-08-01 08:26:28,Highest Rating,572,"                                     Restaurants
0                                       1. Scran
1                               2. E-Street Cafe
2  3. Green Gates Indian Restaurant Merchantcity
3                                     4. Swadish
4                          5. Obsession Of India"
0,Leeds ,g186411,Leeds_West_Yorkshire_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,512,"            Restaurants
0       1. Falafel Guys
1   2. Bengal Brasserie
2   3. Bengal Brasserie
3   4. The Oxford Place
4  5. Kuala Lumpur Cafe"
0,Liverpool ,g186337,Liverpool_Merseyside_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,455,"                Restaurants
0        1. Pippin's Corner
1    2. Dale Street Kitchen
2          3. Indigo Greens
3        4. The Little Shoe
4  5. The Old Hardware Shop"
0,Bristol ,g186220,Bristol_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,461,"                                   Restaurants
0  1. Baba Ganoush Kitchen - Jerusalem Falafel
1                     2. Pipal Tree Restaurant
2                    3. Coronation Curry House
3                                    4. Eatchu
4                                   5. Dhamaka"
0,Sheffield ,g186364,Sheffield_South_Yorkshire_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,371,"                        Restaurants
0  1. The Treehouse board game cafe
1    2. Lemongrass Thai Street Food
2                   3. Bella Italia
3                4. Restaurant 1584
4               5. The Rhubarb Shed"
0,Nottingham ,g186356,Nottingham_Nottinghamshire_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,283,"               Restaurants
0  1. The Cumin Restaurant
1           2. Nawaab Saab
2               3. Basilia
3                 4. Kayal
4        5. Hungry Pumpkin"
0,Leicester ,g186334,Leicester_Leicestershire_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,281,"       Restaurants
0          1. Herb
1         2. Kayal
2  3. Spice Bazzar
3       4. Reece’s
4    5. Dine India"
0,Cardiff ,g186460,Cardiff_South_Wales_Wales.html,zfz10697,2021-08-01 08:26:28,Highest Rating,309,"                                  Restaurants
0                              1. Got No Beef
1                   2. Fresh the Baguette Bar
2                  3. Bigmoose Coffee Company
3                       4. Vivo Amigo Cardiff
4  5. Giardini di Sorrento Italian Restaurant"
0,Newcastle upon Tyne ,g186394,Newcastle_upon_Tyne_Tyne_and_Wear_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,303,"                            Restaurants
0                   1. Simla Restaurant
1                        2. Snackwallah
2                        3. Pizza Punks
3  4. Saray Jesmond Turkish Grill House
4   5. Knights by the burn coffee house"
0,Brighton ,g186273,Brighton_East_Sussex_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,493,"                           Restaurants
0  1. Thewitchez Photo Design Cafe Bar
1                     2. Sunbirds Deli
2         3. Constantinople Restaurant
3                           4. Manju's
4                  5. Purezza Brighton"
0,Belfast ,g186470,Belfast_Northern_Ireland.html,zfz10697,2021-08-01 08:26:28,Highest Rating,255,"                                         Restaurants
0        1. Himalayan Nepalese and Indian Restaurant
1  2. Kathmandu Kitchen Nepalese & Indian Restaurant
2                                        3. Nu Delhi
3                                 4. Darcy's Belfast
4                                  5. Bites Of India"
0,York ,g186346,York_North_Yorkshire_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,261,"                         Restaurants
0                      1. Buongiorno
1                    2. Bella Italia
2  3. Humpit - The Hummus & Pita Bar
3                  4. Osbornes at 68
4                    5. Mannion & Co"
0,Blackpool ,g186332,Blackpool_Lancashire_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,107,"               Restaurants
0      1. CuriosiTea At 23
1  2. The Bank Bar & Grill
2      3. Ziggy's Cafe Bar
3      4. Hauze Restaurant
4    5. Stefani's Pizzeria"
0,Southampton ,g186299,Southampton_Hampshire_England.html,zfz10697,2021-08-01 08:26:28,Highest Rating,175,"             Restaurants
0             1. Mexifun
1  2. Kohinoor Of Kerala
2  3. Offbeet New Forest
3             4. Dhaba59
4            5. Tandoori"
